Day,Ad Name,Ad Set Name,Campaign Name,Impressions,Link Clicks,Amount Spent,Results,クリエイティブ名,広告文名,リンク先名,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-01,banner030_TD001_1080×1080_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,438,5,1315,,banner030,TD001,リード獲得,2025-09-01,2026-03-13,2026-03-20,3/26
2025-09-01,banner044_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,128,,476,,banner044,TD001,リード獲得,,,,
2025-09-01,banner040_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,849,7,2023,,banner040,TD001,リード獲得,,,,
2025-09-01,banner045_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,4161,22,11341,,banner045,TD001,リード獲得,,,,
2025-09-01,banner043_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,126,1,311,,banner043,TD001,リード獲得,,,,
2025-09-01,banner015_TD001_1080×1080_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,349,1,875,,banner015,TD001,リード獲得,,,,
2025-09-02,banner015_TD001_1080×1080_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,389,1,734,,banner015,TD001,リード獲得,,,,
2025-09-02,banner030_TD001_1080×1080_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,775,6,2776,1,banner030,TD001,リード獲得,,,,
2025-09-02,banner040_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,1099,3,2653,,banner040,TD001,リード獲得,,,,
2025-09-02,banner045_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,2778,12,8205,1,banner045,TD001,リード獲得,,,,
2025-09-02,banner043_TD001_1080x1350_リード獲得,AT_IT_リード獲得,媒体ALL_性別男性_リード獲得 - コピー,75,,556,,banner043,TD001,リード獲得,,,,
