Day,Campaign Name,Age,Gender,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,624,3,1265,,,,,2025-09-01,2026-03-13,2026-03-20,3/26
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,859,7,2245,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,99,,258,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,1,,0,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,123,1,453,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,28,,112,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,1,,4,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,101,,626,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,14,,43,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,289,3,1197,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,238,2,956,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,19,,30,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1588,8,4371,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,476,4,1299,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,22,,27,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1266,7,2719,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,296,1,730,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,7,,6,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,212,1,1160,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,1,,9,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,154,1,574,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,49,,290,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,274,2,1337,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,70,1,489,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,12,,20,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,742,3,1902,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,210,,777,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,13,,100,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1332,7,3824,2,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,323,2,1023,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,13,,44,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1114,3,2485,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,15,,32,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,542,2,1354,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,121,,469,,,,,,,,
2025-09-03,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,2,,4,,,,,,,,
2025-09-03,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,208,3,1004,,,,,,,,
2025-09-03,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,53,,161,,,,,,,,
