Day,Campaign Name,Platform,Placement,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,51,1,83,,,,,2025-09-01,2026-03-13,2026-03-20,3/26
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,6,,240,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,5,,3,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,2,,1,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,22,,6,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,52,,41,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,4,,18,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,361,,910,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,3056,26,7172,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,6,,4,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,46,,37,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1031,2,4085,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1093,3,2837,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,103,1,295,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,14,,7,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,197,3,597,,,,,,,,
2025-09-01,媒体ALL_性別男性_リード獲得 - コピー,Audience Network,"Native, Banner and Interstitial",2,,5,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,12,,3,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,18,,10,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,88,,79,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,5,,3,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2467,10,6478,1,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,256,1,700,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,4,,305,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: Video Feeds,3,,0,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,35,,16,,,,,,,,
2025-09-02,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,915,5,3174,,,,,,,,
